"Step","loss","behavioral-cloning-2025-03-13-11-03-33 - loss__MIN","behavioral-cloning-2025-03-13-11-03-33 - loss__MAX"
"0","0.6902829073369503","0.6902829073369503","0.6902829073369503"
"1","0.6737490072846413","0.6737490072846413","0.6737490072846413"
"2","0.6591128073632717","0.6591128073632717","0.6591128073632717"
"3","0.6464284807443619","0.6464284807443619","0.6464284807443619"
"4","0.6340824775397778","0.6340824775397778","0.6340824775397778"
"5","0.6246915720403194","0.6246915720403194","0.6246915720403194"
"6","0.6164110042154789","0.6164110042154789","0.6164110042154789"
"7","0.6086264364421368","0.6086264364421368","0.6086264364421368"
"8","0.6034685261547565","0.6034685261547565","0.6034685261547565"
"9","0.5978320352733135","0.5978320352733135","0.5978320352733135"
"10","0.5938884690403938","0.5938884690403938","0.5938884690403938"
"11","0.5887987576425076","0.5887987576425076","0.5887987576425076"
"12","0.5855432525277138","0.5855432525277138","0.5855432525277138"
"13","0.5828210338950157","0.5828210338950157","0.5828210338950157"
"14","0.5796906724572182","0.5796906724572182","0.5796906724572182"
"15","0.5750464424490929","0.5750464424490929","0.5750464424490929"
"16","0.572655089199543","0.572655089199543","0.572655089199543"
"17","0.5712314918637276","0.5712314918637276","0.5712314918637276"
"18","0.5692687034606934","0.5692687034606934","0.5692687034606934"
"19","0.5685663819313049","0.5685663819313049","0.5685663819313049"
"20","0.5648577772080898","0.5648577772080898","0.5648577772080898"
"21","0.5658310428261757","0.5658310428261757","0.5658310428261757"
"22","0.5637706741690636","0.5637706741690636","0.5637706741690636"
"23","0.562702301889658","0.562702301889658","0.562702301889658"
"24","0.5607349202036858","0.5607349202036858","0.5607349202036858"
"25","0.5605671778321266","0.5605671778321266","0.5605671778321266"
"26","0.5616161078214645","0.5616161078214645","0.5616161078214645"
"27","0.5591114312410355","0.5591114312410355","0.5591114312410355"
"28","0.558036332949996","0.558036332949996","0.558036332949996"
"29","0.5574781205505133","0.5574781205505133","0.5574781205505133"
"30","0.5568162687122822","0.5568162687122822","0.5568162687122822"
"31","0.5559020973742008","0.5559020973742008","0.5559020973742008"
"32","0.5562060177326202","0.5562060177326202","0.5562060177326202"
"33","0.555395906791091","0.555395906791091","0.555395906791091"
"34","0.5538017973303795","0.5538017973303795","0.5538017973303795"
"35","0.5555189102888107","0.5555189102888107","0.5555189102888107"
"36","0.5542380698025227","0.5542380698025227","0.5542380698025227"
"37","0.5516901686787605","0.5516901686787605","0.5516901686787605"
"38","0.5530168786644936","0.5530168786644936","0.5530168786644936"
"39","0.5539579428732395","0.5539579428732395","0.5539579428732395"
"40","0.5518119893968105","0.5518119893968105","0.5518119893968105"
"41","0.5512164980173111","0.5512164980173111","0.5512164980173111"
"42","0.553398048505187","0.553398048505187","0.553398048505187"
"43","0.5514451302587986","0.5514451302587986","0.5514451302587986"
"44","0.5501606334000826","0.5501606334000826","0.5501606334000826"
"45","0.55058404058218","0.55058404058218","0.55058404058218"
"46","0.5506298877298832","0.5506298877298832","0.5506298877298832"
"47","0.5524887442588806","0.5524887442588806","0.5524887442588806"
"48","0.5512672886252403","0.5512672886252403","0.5512672886252403"
"49","0.5502664297819138","0.5502664297819138","0.5502664297819138"
"50","0.5512911267578602","0.5512911267578602","0.5512911267578602"
"51","0.5506897792220116","0.5506897792220116","0.5506897792220116"
"52","0.548534095287323","0.548534095287323","0.548534095287323"
"53","0.5488558989018202","0.5488558989018202","0.5488558989018202"
"54","0.5492886919528246","0.5492886919528246","0.5492886919528246"
"55","0.548767039552331","0.548767039552331","0.548767039552331"
"56","0.5477078687399626","0.5477078687399626","0.5477078687399626"
"57","0.5487275347113609","0.5487275347113609","0.5487275347113609"
"58","0.5485533587634563","0.5485533587634563","0.5485533587634563"
"59","0.5492177829146385","0.5492177829146385","0.5492177829146385"
"60","0.5494175441563129","0.5494175441563129","0.5494175441563129"
"61","0.5479683056473732","0.5479683056473732","0.5479683056473732"
"62","0.5473639369010925","0.5473639369010925","0.5473639369010925"
"63","0.5483551006764174","0.5483551006764174","0.5483551006764174"
"64","0.5488446615636349","0.5488446615636349","0.5488446615636349"
"65","0.5491821635514498","0.5491821635514498","0.5491821635514498"
"66","0.5482778958976269","0.5482778958976269","0.5482778958976269"
"67","0.5493477974087","0.5493477974087","0.5493477974087"
"68","0.5484796799719334","0.5484796799719334","0.5484796799719334"
"69","0.5484793186187744","0.5484793186187744","0.5484793186187744"
"70","0.5474483389407396","0.5474483389407396","0.5474483389407396"
"71","0.5465853083878756","0.5465853083878756","0.5465853083878756"
"72","0.5466953497380018","0.5466953497380018","0.5466953497380018"
"73","0.5463576279580593","0.5463576279580593","0.5463576279580593"
"74","0.5459924880415201","0.5459924880415201","0.5459924880415201"
"75","0.5481948126107454","0.5481948126107454","0.5481948126107454"
"76","0.5471207723021507","0.5471207723021507","0.5471207723021507"
"77","0.5472568795084953","0.5472568795084953","0.5472568795084953"
"78","0.5469705313444138","0.5469705313444138","0.5469705313444138"
"79","0.54942961409688","0.54942961409688","0.54942961409688"
"80","0.5477335266768932","0.5477335266768932","0.5477335266768932"
"81","0.548006247729063","0.548006247729063","0.548006247729063"
"82","0.5467154271900654","0.5467154271900654","0.5467154271900654"
"83","0.546324634924531","0.546324634924531","0.546324634924531"
"84","0.5471477340906858","0.5471477340906858","0.5471477340906858"
"85","0.5460121184587479","0.5460121184587479","0.5460121184587479"
"86","0.5459690243005753","0.5459690243005753","0.5459690243005753"
"87","0.5459964647889137","0.5459964647889137","0.5459964647889137"
"88","0.5457037352025509","0.5457037352025509","0.5457037352025509"
"89","0.5465216748416424","0.5465216748416424","0.5465216748416424"
"90","0.5465438552200794","0.5465438552200794","0.5465438552200794"
"91","0.5473223961889744","0.5473223961889744","0.5473223961889744"
"92","0.5484140962362289","0.5484140962362289","0.5484140962362289"
"93","0.5469511020928621","0.5469511020928621","0.5469511020928621"
"94","0.5467033721506596","0.5467033721506596","0.5467033721506596"
"95","0.5487722214311361","0.5487722214311361","0.5487722214311361"
"96","0.5456294845789671","0.5456294845789671","0.5456294845789671"
"97","0.5454246327280998","0.5454246327280998","0.5454246327280998"
"98","0.5464530326426029","0.5464530326426029","0.5464530326426029"
"99","0.545711187645793","0.545711187645793","0.545711187645793"
